package,api,url,prompt
@ohos.util.Deque,constructor,https://developer.harmonyos.com/cn/docs/documentation/doc-references-V3/js-apis-deque-0000001427745116-V3#ZH-CN_TOPIC_0000001523648606__constructor,"请为该TypeScript容器生成测试用例（只返回生成的代码），你需要测试的容器为：ohos.util.Deque，可以通过 `import ohos.util.Deque from @ohos.util.Deque`的方式导入该容器 
你需要测试该容器的constructor API
该API的描述为'Deque的构造函数。'
 
该API的使用示例为：API使用示例代码：let deque = new Deque(); 
你需要为该API生成一个测试函数，该函数对API进行测试并计算API的运行时间，一个可能的测试用例如下所示：
function test_remove(loopCount: number) {
  let set = new HashSet<number>();
  for (let i = 0; i < loopCount; i++) {
    set.add(i);
  }
  const startTime = new Date();
  for (let i = 0; i < loopCount; i++) {
    set.remove(i);
  }
  const endTime = new Date();
  const executionTime = endTime.getTime() - startTime.getTime();
  const averageTime = executionTime / loopCount;
  console.log(`!${test_id}: ${averageTime} ms`);
}

"
@ohos.util.Deque,insertFront,https://developer.harmonyos.com/cn/docs/documentation/doc-references-V3/js-apis-deque-0000001427745116-V3#ZH-CN_TOPIC_0000001523648606__insertFront,"请为该TypeScript容器生成测试用例（只返回生成的代码），你需要测试的容器为：ohos.util.Deque，可以通过 `import ohos.util.Deque from @ohos.util.Deque`的方式导入该容器 
你需要测试该容器的insertFront API
该API的描述为'在deque头部插入元素。'
 
该API的使用示例为：API使用示例代码：let deque = new Deque();
deque.insertFront(""a"");
deque.insertFront(1);
let b = [1, 2, 3];
deque.insertFront(b);
let c = {name : ""Dylon"", age : ""13""};
deque.insertFront(c);
deque.insertFront(false); 
你需要为该API生成一个测试函数，该函数对API进行测试并计算API的运行时间，一个可能的测试用例如下所示：
function test_remove(loopCount: number) {
  let set = new HashSet<number>();
  for (let i = 0; i < loopCount; i++) {
    set.add(i);
  }
  const startTime = new Date();
  for (let i = 0; i < loopCount; i++) {
    set.remove(i);
  }
  const endTime = new Date();
  const executionTime = endTime.getTime() - startTime.getTime();
  const averageTime = executionTime / loopCount;
  console.log(`!${test_id}: ${averageTime} ms`);
}

"
@ohos.util.Deque,insertEnd,https://developer.harmonyos.com/cn/docs/documentation/doc-references-V3/js-apis-deque-0000001427745116-V3#ZH-CN_TOPIC_0000001523648606__insertEnd,"请为该TypeScript容器生成测试用例（只返回生成的代码），你需要测试的容器为：ohos.util.Deque，可以通过 `import ohos.util.Deque from @ohos.util.Deque`的方式导入该容器 
你需要测试该容器的insertEnd API
该API的描述为'在deque尾部插入元素。'
 
该API的使用示例为：API使用示例代码：let deque = new Deque();
deque.insertEnd(""a"");
deque.insertEnd(1);
let b = [1, 2, 3];
deque.insertEnd(b);
let c = {name : ""Dylon"", age : ""13""};
deque.insertEnd(c);
deque.insertEnd(false); 
你需要为该API生成一个测试函数，该函数对API进行测试并计算API的运行时间，一个可能的测试用例如下所示：
function test_remove(loopCount: number) {
  let set = new HashSet<number>();
  for (let i = 0; i < loopCount; i++) {
    set.add(i);
  }
  const startTime = new Date();
  for (let i = 0; i < loopCount; i++) {
    set.remove(i);
  }
  const endTime = new Date();
  const executionTime = endTime.getTime() - startTime.getTime();
  const averageTime = executionTime / loopCount;
  console.log(`!${test_id}: ${averageTime} ms`);
}

"
@ohos.util.Deque,has,https://developer.harmonyos.com/cn/docs/documentation/doc-references-V3/js-apis-deque-0000001427745116-V3#ZH-CN_TOPIC_0000001523648606__has,"请为该TypeScript容器生成测试用例（只返回生成的代码），你需要测试的容器为：ohos.util.Deque，可以通过 `import ohos.util.Deque from @ohos.util.Deque`的方式导入该容器 
你需要测试该容器的has API
该API的描述为'判断此Deque中是否含有该指定元素。'
 
该API的使用示例为：API使用示例代码：let deque = new Deque();
let result = deque.has(""squirrel"");
deque.insertFront(""squirrel"");
let result1 = deque.has(""squirrel""); 
你需要为该API生成一个测试函数，该函数对API进行测试并计算API的运行时间，一个可能的测试用例如下所示：
function test_remove(loopCount: number) {
  let set = new HashSet<number>();
  for (let i = 0; i < loopCount; i++) {
    set.add(i);
  }
  const startTime = new Date();
  for (let i = 0; i < loopCount; i++) {
    set.remove(i);
  }
  const endTime = new Date();
  const executionTime = endTime.getTime() - startTime.getTime();
  const averageTime = executionTime / loopCount;
  console.log(`!${test_id}: ${averageTime} ms`);
}

"
@ohos.util.Deque,popFirst,https://developer.harmonyos.com/cn/docs/documentation/doc-references-V3/js-apis-deque-0000001427745116-V3#ZH-CN_TOPIC_0000001523648606__popFirst,"请为该TypeScript容器生成测试用例（只返回生成的代码），你需要测试的容器为：ohos.util.Deque，可以通过 `import ohos.util.Deque from @ohos.util.Deque`的方式导入该容器 
你需要测试该容器的popFirst API
该API的描述为'删除并返回双端队列的首元素。'
 
该API的使用示例为：API使用示例代码：let deque = new Deque();
deque.insertFront(2);
deque.insertFront(4);
deque.insertEnd(5);
deque.insertFront(2);
deque.insertFront(4);
let result = deque.popFirst(); 
你需要为该API生成一个测试函数，该函数对API进行测试并计算API的运行时间，一个可能的测试用例如下所示：
function test_remove(loopCount: number) {
  let set = new HashSet<number>();
  for (let i = 0; i < loopCount; i++) {
    set.add(i);
  }
  const startTime = new Date();
  for (let i = 0; i < loopCount; i++) {
    set.remove(i);
  }
  const endTime = new Date();
  const executionTime = endTime.getTime() - startTime.getTime();
  const averageTime = executionTime / loopCount;
  console.log(`!${test_id}: ${averageTime} ms`);
}

"
@ohos.util.Deque,popLast,https://developer.harmonyos.com/cn/docs/documentation/doc-references-V3/js-apis-deque-0000001427745116-V3#ZH-CN_TOPIC_0000001523648606__popLast,"请为该TypeScript容器生成测试用例（只返回生成的代码），你需要测试的容器为：ohos.util.Deque，可以通过 `import ohos.util.Deque from @ohos.util.Deque`的方式导入该容器 
你需要测试该容器的popLast API
该API的描述为'删除并返回双端队列的尾元素。'
 
该API的使用示例为：API使用示例代码：let deque = new Deque();
deque.insertFront(2);
deque.insertEnd(4);
deque.insertFront(5);
deque.insertFront(2);
deque.insertFront(4);
let result = deque.popLast(); 
你需要为该API生成一个测试函数，该函数对API进行测试并计算API的运行时间，一个可能的测试用例如下所示：
function test_remove(loopCount: number) {
  let set = new HashSet<number>();
  for (let i = 0; i < loopCount; i++) {
    set.add(i);
  }
  const startTime = new Date();
  for (let i = 0; i < loopCount; i++) {
    set.remove(i);
  }
  const endTime = new Date();
  const executionTime = endTime.getTime() - startTime.getTime();
  const averageTime = executionTime / loopCount;
  console.log(`!${test_id}: ${averageTime} ms`);
}

"
@ohos.util.Deque,forEach,https://developer.harmonyos.com/cn/docs/documentation/doc-references-V3/js-apis-deque-0000001427745116-V3#ZH-CN_TOPIC_0000001523648606__forEach,"请为该TypeScript容器生成测试用例（只返回生成的代码），你需要测试的容器为：ohos.util.Deque，可以通过 `import ohos.util.Deque from @ohos.util.Deque`的方式导入该容器 
你需要测试该容器的forEach API
该API的描述为'thisArg?: Object): void'
该API的参数列表分别为：callbackFn(function): 回调函数。, 是否必须：True 
该API的使用示例为：API使用示例代码：let deque = new Deque();
deque.insertFront(2);
deque.insertEnd(4);
deque.insertFront(5);
deque.insertEnd(4);
deque.forEach((value, index) => {
    console.log(""value:"" + value, ""index:"" + index);
}); 
你需要为该API生成一个测试函数，该函数对API进行测试并计算API的运行时间，一个可能的测试用例如下所示：
function test_remove(loopCount: number) {
  let set = new HashSet<number>();
  for (let i = 0; i < loopCount; i++) {
    set.add(i);
  }
  const startTime = new Date();
  for (let i = 0; i < loopCount; i++) {
    set.remove(i);
  }
  const endTime = new Date();
  const executionTime = endTime.getTime() - startTime.getTime();
  const averageTime = executionTime / loopCount;
  console.log(`!${test_id}: ${averageTime} ms`);
}

"
@ohos.util.Deque,getFirst,https://developer.harmonyos.com/cn/docs/documentation/doc-references-V3/js-apis-deque-0000001427745116-V3#ZH-CN_TOPIC_0000001523648606__getFirst,"请为该TypeScript容器生成测试用例（只返回生成的代码），你需要测试的容器为：ohos.util.Deque，可以通过 `import ohos.util.Deque from @ohos.util.Deque`的方式导入该容器 
你需要测试该容器的getFirst API
该API的描述为'获取Deque实例中的头元素。'
 
该API的使用示例为：API使用示例代码：let deque = new Deque();
deque.insertEnd(2);
deque.insertEnd(4);
deque.insertFront(5);
deque.insertFront(4);
let result = deque.getFirst(); 
你需要为该API生成一个测试函数，该函数对API进行测试并计算API的运行时间，一个可能的测试用例如下所示：
function test_remove(loopCount: number) {
  let set = new HashSet<number>();
  for (let i = 0; i < loopCount; i++) {
    set.add(i);
  }
  const startTime = new Date();
  for (let i = 0; i < loopCount; i++) {
    set.remove(i);
  }
  const endTime = new Date();
  const executionTime = endTime.getTime() - startTime.getTime();
  const averageTime = executionTime / loopCount;
  console.log(`!${test_id}: ${averageTime} ms`);
}

"
@ohos.util.Deque,getLast,https://developer.harmonyos.com/cn/docs/documentation/doc-references-V3/js-apis-deque-0000001427745116-V3#ZH-CN_TOPIC_0000001523648606__getLast,"请为该TypeScript容器生成测试用例（只返回生成的代码），你需要测试的容器为：ohos.util.Deque，可以通过 `import ohos.util.Deque from @ohos.util.Deque`的方式导入该容器 
你需要测试该容器的getLast API
该API的描述为'获取Deque实例中的尾元素。'
 
该API的使用示例为：API使用示例代码：let deque = new Deque();
deque.insertFront(2);
deque.insertFront(4);
deque.insertFront(5);
deque.insertFront(4);
let result = deque.getLast(); 
你需要为该API生成一个测试函数，该函数对API进行测试并计算API的运行时间，一个可能的测试用例如下所示：
function test_remove(loopCount: number) {
  let set = new HashSet<number>();
  for (let i = 0; i < loopCount; i++) {
    set.add(i);
  }
  const startTime = new Date();
  for (let i = 0; i < loopCount; i++) {
    set.remove(i);
  }
  const endTime = new Date();
  const executionTime = endTime.getTime() - startTime.getTime();
  const averageTime = executionTime / loopCount;
  console.log(`!${test_id}: ${averageTime} ms`);
}

"
@ohos.util.HashMap,constructor,https://developer.harmonyos.com/cn/docs/documentation/doc-references-V3/js-apis-hashmap-0000001478181697-V3#ZH-CN_TOPIC_0000001574248653__constructor,"请为该TypeScript容器生成测试用例（只返回生成的代码），你需要测试的容器为：ohos.util.HashMap，可以通过 `import ohos.util.HashMap from @ohos.util.HashMap`的方式导入该容器 
你需要测试该容器的constructor API
该API的描述为'HashMap的构造函数。'
 
该API的使用示例为：API使用示例代码：let hashMap = new HashMap(); 
你需要为该API生成一个测试函数，该函数对API进行测试并计算API的运行时间，一个可能的测试用例如下所示：
function test_remove(loopCount: number) {
  let set = new HashSet<number>();
  for (let i = 0; i < loopCount; i++) {
    set.add(i);
  }
  const startTime = new Date();
  for (let i = 0; i < loopCount; i++) {
    set.remove(i);
  }
  const endTime = new Date();
  const executionTime = endTime.getTime() - startTime.getTime();
  const averageTime = executionTime / loopCount;
  console.log(`!${test_id}: ${averageTime} ms`);
}

"
@ohos.util.HashMap,isEmpty,https://developer.harmonyos.com/cn/docs/documentation/doc-references-V3/js-apis-hashmap-0000001478181697-V3#ZH-CN_TOPIC_0000001574248653__isEmpty,"请为该TypeScript容器生成测试用例（只返回生成的代码），你需要测试的容器为：ohos.util.HashMap，可以通过 `import ohos.util.HashMap from @ohos.util.HashMap`的方式导入该容器 
你需要测试该容器的isEmpty API
该API的描述为'判断该HashMap是否为空。'
 
该API的使用示例为：API使用示例代码：const hashMap = new HashMap();
let result = hashMap.isEmpty(); 
你需要为该API生成一个测试函数，该函数对API进行测试并计算API的运行时间，一个可能的测试用例如下所示：
function test_remove(loopCount: number) {
  let set = new HashSet<number>();
  for (let i = 0; i < loopCount; i++) {
    set.add(i);
  }
  const startTime = new Date();
  for (let i = 0; i < loopCount; i++) {
    set.remove(i);
  }
  const endTime = new Date();
  const executionTime = endTime.getTime() - startTime.getTime();
  const averageTime = executionTime / loopCount;
  console.log(`!${test_id}: ${averageTime} ms`);
}

"
@ohos.util.HashMap,hasKey,https://developer.harmonyos.com/cn/docs/documentation/doc-references-V3/js-apis-hashmap-0000001478181697-V3#ZH-CN_TOPIC_0000001574248653__hasKey,"请为该TypeScript容器生成测试用例（只返回生成的代码），你需要测试的容器为：ohos.util.HashMap，可以通过 `import ohos.util.HashMap from @ohos.util.HashMap`的方式导入该容器 
你需要测试该容器的hasKey API
该API的描述为'判断此HashMap中是否含有该指定key。'
 
该API的使用示例为：API使用示例代码：let hashMap = new HashMap();
let result = hashMap.hasKey(""squirrel"");
hashMap.set(""squirrel"", 123);
let result1 = hashMap.hasKey(""squirrel""); 
你需要为该API生成一个测试函数，该函数对API进行测试并计算API的运行时间，一个可能的测试用例如下所示：
function test_remove(loopCount: number) {
  let set = new HashSet<number>();
  for (let i = 0; i < loopCount; i++) {
    set.add(i);
  }
  const startTime = new Date();
  for (let i = 0; i < loopCount; i++) {
    set.remove(i);
  }
  const endTime = new Date();
  const executionTime = endTime.getTime() - startTime.getTime();
  const averageTime = executionTime / loopCount;
  console.log(`!${test_id}: ${averageTime} ms`);
}

"
@ohos.util.HashMap,hasValue,https://developer.harmonyos.com/cn/docs/documentation/doc-references-V3/js-apis-hashmap-0000001478181697-V3#ZH-CN_TOPIC_0000001574248653__hasValue,"请为该TypeScript容器生成测试用例（只返回生成的代码），你需要测试的容器为：ohos.util.HashMap，可以通过 `import ohos.util.HashMap from @ohos.util.HashMap`的方式导入该容器 
你需要测试该容器的hasValue API
该API的描述为'判断此HashMap中是否含有该指定value。'
 
该API的使用示例为：API使用示例代码：let hashMap = new HashMap();
let result = hashMap.hasValue(123);
hashMap.set(""squirrel"", 123);
let result1 = hashMap.hasValue(123); 
你需要为该API生成一个测试函数，该函数对API进行测试并计算API的运行时间，一个可能的测试用例如下所示：
function test_remove(loopCount: number) {
  let set = new HashSet<number>();
  for (let i = 0; i < loopCount; i++) {
    set.add(i);
  }
  const startTime = new Date();
  for (let i = 0; i < loopCount; i++) {
    set.remove(i);
  }
  const endTime = new Date();
  const executionTime = endTime.getTime() - startTime.getTime();
  const averageTime = executionTime / loopCount;
  console.log(`!${test_id}: ${averageTime} ms`);
}

"
